textname,textproduct,urlname,textsize,textlocation,textinvestors,textnotes,urljobs,urlanalysis
AngelList,Invest in startups,http://angel.co/,25-50,SF,"Atlas,GV",exceptional team; strong growth; growing market; incl PH subset,https://angel.co/angellist/jobs?ref=breakoutlist,https://breakoutlist.com/angellist
Blend Labs,Mortgage enterprise software,https://blend.com,,SF,"A16Z,LSVP,FF",exceptional founders,,
Checkr,Background checking,https://checkr.com/,10-50,SF,,"strong revenue, high energy market",http://www.checkr.com/jobs?ref=breakoutlist,
Docker,Application containers,http://www.docker.com,50-150,SF,"Benchmark,Greylock","central to customers’ lives, high activity market",http://www.docker.com/company/careers/?ref=breakoutlist,https://breakoutlist.com/docker
Flexport,Freight forwarding,https://www.flexport.com,,SF,"FF,8VC",Strong growth; large market,,
Intercom,Web app analytics,https://www.intercom.io,50-150,SF,,"high energy market, strong revenue growth",https://www.intercom.io/careers?ref=breakoutlist,https://breakoutlist.com/intercom
mark43,SaaS for law enforcement,http://mark43.com/,50-150,NYC,"GC,Spark",Strong growth,,
Medium,Online content,https://medium.com,50-150,Palo Alto,"Greylock,A16Z",Strong growth; large market,http://www.medium.com/jobs?ref=breakoutlist,
MemSQL,In-memory databases,http://www.memsql.com,,SF,"Accel,KV",Strong growth,,
Okta,Single sign-on for enterprises,https://www.okta.com,250-500,SF,"A16Z,Greylock",Strong growth,,
Opendoor,Buy/sell your home online,https://www.opendoor.com/,25-50,SF,"KV,GGV",great team; strong growth; huge market,https://www.opendoor.com/jobs,https://breakoutlist.com/opendoor
Rubrik,"Data backup, recovery, compliance etc for enterprise",https://www.rubrik.com,,Palo Alto,"LSVP,Greylock",Strong growth,,
Segment,Analytics,https://segment.com,10-50,SF,"Accel,Thrive",strong growth,https://segment.com/jobs/?ref=breakoutlist,https://breakoutlist.com/segment
Stitchfix,Personal styling platform,https://www.stitchfix.com,250-500,NYC,"Baseline,LSVP,Benchmark",Strong growth; large market,https://www.stitchfix.com/careers?ref=breakoutlist,
Tanium,Enterprise security,https://www.tanium.com,50-150,Berkeley,A16Z,Strong growth,http://www.tanium.com/about-us/careers/?ref=breakoutlist,https://breakoutlist.com/tanium
Y Combinator,Startup funding and advice,http://www.ycombinator.com,,SF,Sequoia,network effect; strong growth; great team,https://blog.ycombinator.com/y-combinator-is-hiring-hackers,
Zenreach,Brick and mortar analytics,https://www.zenreach.com,,SF,"F8,FF",Strong growth,,
Zymergen,Engineering microbes,https://www.zymergen.com,,"Emeryville, CA","DCVC,Softbank",Large market,,
